Data;25454 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Compror - % a.m.;25455 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito rotativo - % a.m.;25456 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito parcelado - % a.m.;25457 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total - % a.m.;25458 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Adiantamento sobre contratos de câmbio (ACC) - % a.m.;25459 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Financiamento a importações - % a.m.;25460 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Financiamento a exportações - % a.m.;25461 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Repasse externo - % a.m.;25462 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.m.;27643 - Taxa média mensal de juros das operações de crédito não rotativo com recursos livres - Pessoas físicas - Total - % a.m.
05/2021;0,77 ;8,77 ;6,90 ;1,90 ;0,20 ;0,27 ;0,79 ;0,73 ;2,78 ;2,56
06/2021;0,82 ;7,09 ;6,97 ;1,70 ;0,20 ;0,51 ;0,74 ;0,67 ;2,79 ;2,56
07/2021;0,85 ;9,10 ;7,15 ;2,01 ;0,20 ;0,18 ;0,83 ;0,86 ;2,77 ;2,53
08/2021;0,87 ;9,38 ;7,14 ;1,92 ;0,24 ;0,80 ;0,92 ;0,93 ;2,82 ;2,59
09/2021;0,91 ;7,17 ;7,15 ;1,61 ;0,22 ;0,98 ;0,91 ;0,90 ;2,87 ;2,62
10/2021;1,03 ;9,17 ;7,31 ;2,05 ;0,23 ;0,68 ;0,97 ;1,08 ;2,99 ;2,76
11/2021;1,13 ;9,69 ;7,32 ;2,00 ;0,21 ;0,96 ;1,14 ;1,22 ;3,06 ;2,85
12/2021;1,19 ;6,74 ;7,27 ;1,64 ;0,18 ;0,95 ;1,19 ;1,10 ;3,10 ;2,91
01/2022;1,28 ;9,93 ;7,59 ;2,82 ;0,20 ;0,89 ;1,07 ;1,12 ;3,17 ;2,94
02/2022;1,30 ;9,58 ;7,29 ;2,35 ;0,20 ;1,07 ;1,12 ;0,99 ;3,28 ;2,98
03/2022;1,30 ;7,24 ;7,35 ;1,85 ;0,22 ;0,87 ;1,15 ;1,15 ;3,36 ;3,07
04/2022;1,35 ;11,16 ;7,28 ;3,07 ;0,23 ;1,46 ;1,21 ;1,30 ;3,38 ;3,05
05/2022;1,40 ;9,35 ;7,47 ;2,33 ;0,23 ;0,99 ;1,21 ;1,16 ;3,41 ;3,08
06/2022;1,38 ;8,11 ;7,31 ;2,20 ;0,33 ;0,71 ;1,25 ;1,16 ;3,47 ;3,12
07/2022;1,36 ;10,14 ;7,75 ;3,04 ;0,33 ;1,10 ;1,30 ;1,25 ;3,58 ;3,15
08/2022;1,38 ;9,09 ;7,54 ;2,28 ;0,36 ;0,92 ;1,30 ;1,25 ;3,61 ;3,16
09/2022;1,39 ;9,04 ;7,56 ;3,03 ;0,39 ;0,55 ;1,23 ;1,13 ;3,59 ;3,09
10/2022;1,37 ;10,22 ;7,45 ;3,63 ;0,47 ;0,74 ;1,21 ;1,14 ;3,75 ;3,19
11/2022;1,40 ;8,77 ;7,33 ;2,80 ;0,45 ;1,04 ;1,34 ;1,23 ;3,79 ;3,17
12/2022;1,40 ;5,82 ;7,46 ;2,07 ;0,45 ;0,90 ;1,30 ;1,18 ;3,69 ;3,12
01/2023;1,41 ;12,15 ;7,44 ;4,28 ;0,51 ;0,81 ;1,27 ;1,24 ;3,74 ;3,18
02/2023;1,43 ;9,46 ;7,29 ;2,96 ;0,48 ;0,83 ;1,11 ;1,16 ;3,83 ;3,23
03/2023;1,36 ;7,65 ;7,23 ;3,05 ;0,54 ;0,60 ;1,21 ;1,08 ;3,85 ;3,24
04/2023;1,23 ;8,41 ;7,30 ;3,01 ;0,55 ;0,58 ;1,19 ;1,03 ;3,95 ;3,32
05/2023;1,22 ;8,10 ;7,51 ;3,06 ;0,55 ;0,77 ;1,17 ;1,09 ;3,92 ;3,28
06/2023;1,33 ;7,46 ;7,37 ;2,97 ;0,55 ;0,53 ;1,08 ;0,94 ;3,87 ;3,27
07/2023;1,33 ;9,89 ;7,55 ;3,28 ;0,52 ;0,63 ;1,11 ;1,00 ;3,83 ;3,26
08/2023;1,22 ;8,89 ;7,56 ;3,10 ;0,50 ;0,71 ;1,07 ;0,90 ;3,80 ;3,23
09/2023;1,22 ;9,35 ;7,68 ;3,96 ;0,46 ;0,68 ;1,10 ;1,00 ;3,78 ;3,21
10/2023;1,13 ;9,42 ;7,89 ;3,79 ;0,53 ;0,65 ;1,13 ;1,03 ;3,73 ;3,20
11/2023;1,19 ;5,88 ;7,88 ;2,29 ;0,53 ;0,61 ;1,21 ;0,97 ;3,71 ;3,25
12/2023;1,27 ;5,92 ;8,05 ;2,54 ;0,53 ;0,59 ;0,98 ;0,87 ;3,66 ;3,24
